"_created_at",_id,_p_user,_updated_at,canal,count
2017-08-28T20:23:29.486Z,PYgNpMvGR8,_User$kWGttyH6Yh,2017-09-18T18:51:13.272Z,gwYDWEPMZI,3
2017-08-28T20:23:33.889Z,PKE09cIz4z,_User$kWGttyH6Yh,2017-09-18T18:51:13.298Z,gwYDWEPMZI,3
2017-08-28T20:24:37.856Z,1A3sddgBoE,_User$kWGttyH6Yh,2017-09-18T18:51:13.316Z,gwYDWEPMZI,3
2017-08-28T20:50:21.829Z,Kuuw0gEm6k,_User$DlcW5atXs6,2017-09-18T18:51:12.995Z,gwYDWEPMZI,3
2017-08-28T20:50:21.842Z,a4ZK73cEE2,_User$kWGttyH6Yh,2017-09-18T18:51:13.327Z,gwYDWEPMZI,3
2017-08-28T20:50:35.978Z,fHw3cbAfFI,_User$kWGttyH6Yh,2017-09-18T18:51:13.454Z,gwYDWEPMZI,3
2017-08-28T20:50:35.979Z,obxzR5twjL,_User$DlcW5atXs6,2017-09-18T18:51:12.965Z,gwYDWEPMZI,3
2017-08-29T16:55:57.392Z,uwHjYi1EHU,_User$6Wjz1WgsB0,2017-09-21T00:53:43.673Z,XQuNRaqeFY,3
2017-08-29T16:55:57.664Z,rv6ma6uiCD,_User$O2VxzUwiEV,2017-09-21T00:53:44.081Z,XQuNRaqeFY,3
2017-08-29T16:56:24.160Z,Phwax4hcpb,_User$FQ1Xe0d6Qd,2017-08-29T16:56:24.160Z,jRXDEYrP8U,0
2017-08-29T16:56:24.160Z,OdGJyYcMGP,_User$rsHMcrmkM9,2017-08-29T16:56:24.160Z,jRXDEYrP8U,0
2017-08-29T16:56:42.748Z,Znm8EZxHDN,_User$VxQk16vKFN,2017-09-18T19:28:14.399Z,YUua6DXN2N,2
2017-08-29T16:56:42.761Z,65m7NKwngW,_User$V7md3fiDGC,2017-09-18T19:28:13.826Z,YUua6DXN2N,2
2017-08-29T16:57:32.833Z,3vf2Xi6gcJ,_User$DlcW5atXs6,2017-09-18T18:51:12.981Z,gwYDWEPMZI,3
2017-08-29T16:57:32.860Z,Co6wD1g7Md,_User$kWGttyH6Yh,2017-09-18T18:51:13.532Z,gwYDWEPMZI,3
2017-08-29T16:57:42.502Z,AEGp06HC0d,_User$DlcW5atXs6,2017-09-18T18:51:13.104Z,gwYDWEPMZI,3
2017-08-29T16:57:42.514Z,rOJCrAJ1y8,_User$kWGttyH6Yh,2017-09-18T18:51:13.556Z,gwYDWEPMZI,3
2017-08-29T17:00:13.504Z,0CPbMGgE1q,_User$JYGjIxm6aI,2017-08-29T17:00:13.504Z,MtHAorxzlY,0
2017-08-29T17:00:13.527Z,xOZTbhZaol,_User$N82w55lP8W,2017-08-29T17:00:13.527Z,MtHAorxzlY,0
2017-08-31T12:43:55.220Z,aghhGXevlH,_User$pBE4nH6mK6,2017-08-31T12:43:55.220Z,pFBTmTpuff,0
